Roll,Score
2005011,4.0
2005058,5.0
2005076,3.0
2005119,4.0
2005150,5.0
2005161,3.0
2005168,4.0
2005178,4.0
2005179,5.0
2005198,3.0
2005270,4.0
2005278,5.0
2005288,4.0
2005289,3.0
2005312,4.0
2005324,5.0
2005326,4.0
2005332,3.0
2005343,4.0
2005407,5.0
2005439,3.0
2005444,4.0
2005473,5.0
2005521,
2005548,3.0
2005554,4.0
2005574,5.0
2005578,4.0
2005585,5.0
2005590,3.0
2005597,4.0
2005598,
2005601,5.0
2005603,4.0
2005608,4.0
2005628,3.0
2005631,3.0
2005645,9.0
2005704,
2005718,4.0
2005721,5.0
2005849,4.0
2005904,3.0
2005909,4.0
2005929,5.0
2005955,3.0
2005979,4.0
20051001,5.0
20051023,4.0
20051042,3.0
20051049,4.0
20051105,4.0
20051122,3.0
20051143,3.0
20051164,4.0
20051167,
20051174,
20051182,5.0
20051254,5.0
20051329,5.0
20051351,4.0
20051359,4.0
20051362,4.0
20051388,3.0
20051397,4.0
20051420,4.0
20051433,5.0
20051467,4.0
20051473,4.0
20051510,3.0
20051552,3.0
20051562,3.0
20051614,4.0
20051633,4.0
20051805,5.0
20051855,4.0
20051866,4.0
20051868,3.0
20051872,3.0
20051888,4.0
20051903,3.0
20051915,5.0
20051962,4.0
20051981,4.0
21053002,3.0
21053015,4.0
21053022,4.0
21053042,4.0
21053047,5.0
21053066,4.0
21053067,4.0
